Timestamp,0. Are you currently employed in Berlin or by a Berlin-based organization?,1. Gender:,2. Age:,3. Highest vocational qualification attained:,4. Years of total work experience:,5. Citizenship,6. Type of organisation,7. Industry,"8. Company size (global, entire organisation)",9. Years in current company:,10. Job/Position title,11. Which best describes your role in your current company?,12. Years in current position:,13. Full-time / Part-time,14. Contract in hours per week,15. Total annual gross salary in EUR (before taxes and deductions),"16. Performance-related pay or bonuses (gross) in EUR - CAN SKIP IF ""0""","17. Total Annual Equity Compensation (stock options, ESOPs, etc.) in EUR - CAN SKIP IF ""0""",18. Salary raise since January 2023,19. ID,20. Contract in hours per week (Normalized)
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Technology/Software Development,201-500,1-2,Senior Product Designer,Individual Contributor (no direct reports),1-2,Full-time,40,72.000,7.250,0,No raise,447,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Non-Binary,40-44,Master's Degree,16-20,Other-EU,A private firm,Manufacturing,1-10,3-5,Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,72.000,1.500,0,1-5%,671,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,Transportation & Storage,1000+,3-5,Security Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,72.000,na,0,1-5%,686,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Doctor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,51-200,Less than 1,Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,72.000,na,0,6-10%,829,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Retail & Wholesale Trade,51-200,Less than 1,Team Lead People,Team Lead (manages small team),Less than 1,Full-time,40,72.000,na,0,No raise,841,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Other-EU,A private firm,Real Estate,11-50,3-5,Senior CRM Manager,Individual Contributor (no direct reports),3-5,Full-time,40,72.000,na,0,No raise,842,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,1-2,German,A private firm,Finance & Insurance,501-1000,Less than 1,Consultant,Individual Contributor (no direct reports),Less than 1,Full-time,40,72.000,3.000,0,11-15%,854,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Non-EU,A private firm,Technology/Software Development,51-200,1-2,Senior Machine Learning Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,72.000,na,4.000,1-5%,871,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Non-EU,A private firm,Technology/Software Development,1000+,1-2,Mobile Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,72.000,na,0,No raise,910,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,6-10,Other-EU,A private firm,Technology/Software Development,1000+,1-2,Compliance Officer,Individual Contributor (no direct reports),1-2,Full-time,40,72.000,10.000,0,No raise,993,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,German,A state-owned enterprise,"Professional Services (e.g., consulting, Engineering, and legal services)",201-500,3-5,Senior Consultant,Team Lead (manages small team),Less than 1,Full-time,40,72.000,na,0,11-15%,1020,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,501-1000,1-2,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,73.000,na,0,1-5%,50,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Diploma,6-10,Other-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1000+,6-10,Senior Software Architect,Individual Contributor (no direct reports),1-2,Full-time,40,73.000,na,0,1-5%,133,40
 06/2023  ,No.,Non-Binary,30-34,Trade and Technical School Certificate,3-5,Other-EU,A private firm,Technology/Software Development,1-10,Less than 1,Web Developer,Individual Contributor (no direct reports),Less than 1,Part-time,20,48.000,na,na,No raise,593,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Finance & Insurance,51-200,1-2,Frontend Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,73.000,5.000,0,No raise,362,40
 06/2023  ,No.,Female,50-54,Master's Degree,30+,Non-EU,A private firm,Education,51-200,3-5,Educational Department Head,Senior Manager/Director (manages departments),3-5,Full-time,40,65.000,na,na,No raise,595,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,No vocational qualification attained,1-2,German,A private firm,"Utilities (Electricity, Gas, Steam, Air Conditioning Supply)",51-200,1-2,Senior Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,73.000,na,0,11-15%,478,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,Other public sector (such as education and health),Healthcare and Pharmaceuticals,51-200,1-2,Senior Frontend Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,73.000,na,0,No raise,562,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,11-15,Non-EU,A private firm,Technology/Software Development,51-200,3-5,Sales Team Lead,Team Lead (manages small team),3-5,Full-time,40,73.000,60.000,0,1-5%,566,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Bachelor's Degree,3-5,Dual (Ger/EU and Non-EU),A private firm,Information & Communication,501-1000,Less than 1,Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,73.000,na,0,na,600,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,Prefer not to say,1-2,Data Engineer,Individual Contributor (no direct reports),6-10,Full-time,40,73.000,na,0,1-5%,610,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,201-500,1-2,Data Analyst,Individual Contributor (no direct reports),3-5,Full-time,40,73.000,na,5.000,1-5%,639,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,Less than 1,DevOps Engineer,na,Less than 1,Full-time,40,73.000,na,0,No raise,760,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,Dual (Ger/EU and EU),A private firm,Information & Communication,1000+,1-2,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,73.000,5.580,0,1-5%,821,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Other-EU,A private firm,Technology/Software Development,501-1000,1-2,Program Manager,Team Lead (manages small team),Less than 1,Full-time,40,73.000,na,25.000,1-5%,1035,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,German,A private firm,Technology/Software Development,1000+,Less than 1,System Development Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,74.000,na,0,No raise,419,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,11-15,Non-EU,A private firm,Hospitality (Accommodation and Food Services),1000+,3-5,Senior Product Owner,Team Lead (manages small team),3-5,Full-time,40,74.000,na,5.000,1-5%,525,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Specialized and Engineering School Certificate (GDR),6-10,Non-EU,A private firm,Technology/Software Development,201-500,1-2,Agile Coach,Individual Contributor (no direct reports),1-2,Full-time,40,74.000,na,0,1-5%,661,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Retail & Wholesale Trade,1000+,1-2,Data Analyst,Individual Contributor (no direct reports),1-2,Full-time,40,74.000,na,0,11-15%,682,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Dual (Ger/EU and Non-EU),A state-owned enterprise,Public Administration,1000+,3-5,Project Manager,Individual Contributor (no direct reports),Less than 1,Full-time,39,74.000,2.500,0,No raise,930,39
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Technology/Software Development,11-50,1-2,Lead Engineer,Team Lead (manages small team),Less than 1,Full-time,45,75.000,5.500,0,No raise,33,45
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Bachelor's Degree,11-15,Non-EU,A private firm,Prefer not to say,1000+,Less than 1,Senior UX Designer,Individual Contributor (no direct reports),3-5,Full-time,40,75.000,na,0,No raise,163,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Non-EU,A private firm,Finance & Insurance,1000+,Less than 1,DevOps Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,75.000,na,0,20%+,187,40
 06/2023  ,No.,Male,25-29,Master's Degree,3-5,German,A private firm,Technology/Software Development,201-500,Less than 1,Site Reliability Engineer,Individual Contributor (no direct reports),Less than 1,Part-time,32,105.000,5.000,na,6-10%,613,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Other-EU,A private firm,Other Services,501-1000,1-2,Data Analyst,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,No raise,200,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Bachelor's Degree,11-15,Non-EU,A private firm,Technology/Software Development,501-1000,3-5,Customer Success Manager,Individual Contributor (no direct reports),3-5,Full-time,40,75.000,15.000,1.000,11-15%,268,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Master's Degree,11-15,German,A private firm,Technology/Software Development,51-200,1-2,Head of Digital Operations,Manager (manages team),3-5,Full-time,40,75.000,5.000,0,No raise,283,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,11-15,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,3-5,Referent Umweltpolitik,Individual Contributor (no direct reports),3-5,Full-time,39,75.000,na,0,No raise,310,39
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Female,30-34,Doctor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,11-50,1-2,Developer Advocate,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,6-10%,344,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Other-EU,Prefer not to say,Healthcare and Pharmaceuticals,1000+,1-2,Security Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,Prefer not to say,348,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Non-EU,A private firm,Technology/Software Development,501-1000,1-2,Senior Marketing Strategy Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,75.000,10.000,0,No raise,375,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Bachelor's Degree,6-10,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",51-200,Less than 1,Data Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,37,75.000,na,0,20%+,394,37
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Master's Degree,6-10,Other-EU,A private firm,Finance & Insurance,11-50,1-2,Senior Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,75.000,na,9.000,No raise,429,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Other Services,11-50,1-2,Senior Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,75.000,na,0,No raise,455,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Non-Binary,35-39,Bachelor's Degree,11-15,German,A private firm,Retail & Wholesale Trade,1000+,1-2,Tech Lead,Team Lead (manages small team),1-2,Full-time,40,75.000,3.000,0,6-10%,480,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Education,1000+,Less than 1,iOS Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,75.000,na,0,6-10%,549,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Non-EU,A private firm,Technology/Software Development,1000+,3-5,Marketing Automation Lead,Team Lead (manages small team),1-2,Full-time,40,75.000,na,5.000,No raise,574,40
 06/2023  ,No.,Male,30-34,Diploma,6-10,Non-EU,A private firm,Retail & Wholesale Trade,1000+,1-2,Data Architect,Individual Contributor (no direct reports),1-2,Full-time,"37,5",77.000,na,na,6-10%,627,"37,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Technology/Software Development,201-500,3-5,Senior Frontend Engineer,Team Lead (manages small team),3-5,Full-time,40,75.000,10.000,0,No raise,586,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Other-EU,A private firm,Healthcare and Pharmaceuticals,1000+,Less than 1,Product Manager,Individual Contributor (no direct reports),3-5,Full-time,40,75.000,5.000,0,No raise,623,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Prefer not to say,11-15,Non-EU,A private firm,Real Estate,11-50,3-5,Tech Team lead,Team Lead (manages small team),3-5,Full-time,40,75.000,na,0,1-5%,635,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Technology/Software Development,201-500,1-2,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,11-15%,642,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,501-1000,1-2,Senior Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,No raise,646,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,6-10,Non-EU,A private firm,Education,201-500,3-5,Program Manager,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,No raise,764,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,German,A private firm,Technology/Software Development,1000+,Less than 1,Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,75.000,16.000,4.000,1-5%,769,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,51-200,3-5,Team Lead Talent Acquisition,Team Lead (manages small team),1-2,Full-time,40,75.000,na,22.500,No raise,773,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,Less than 1,Software Engineer,Individual Contributor (no direct reports),6-10,Full-time,40,75.000,11.000,0,1-5%,830,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,3-5,Other-EU,A private firm,Retail & Wholesale Trade,51-200,Less than 1,Data Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,75.000,na,0,No raise,968,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Other-EU,A private firm,Education,201-500,Less than 1,Data Scientist,Individual Contributor (no direct reports),3-5,Full-time,32,75.000,na,0,6-10%,987,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Other-EU,A private firm,"Utilities (Electricity, Gas, Steam, Air Conditioning Supply)",1000+,Less than 1,Senior Software Engineer,Individual Contributor (no direct reports),3-5,na,40,75.000,na,0,No raise,995,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Prefer not to say,11-15,Other-EU,A private firm,Technology/Software Development,11-50,1-2,Agile Coach,Prefer not to say,6-10,Full-time,40,76.000,na,0,1-5%,78,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,1-2,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,76.000,na,7.000,1-5%,126,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Information & Communication,11-50,3-5,Development Lead,Team Lead (manages small team),3-5,Full-time,40,76.000,na,0,No raise,384,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Information & Communication,51-200,6-10,Senior Product Manager,Individual Contributor (no direct reports),3-5,Full-time,40,76.000,na,0,6-10%,415,40
 06/2023  ,No.,Male,40-44,Bachelor's Degree,11-15,Other-EU,Other,Technology/Software Development,501-1000,1-2,Backend Engineer,Individual Contributor (no direct reports),6-10,Full-time,40,60.000,na,na,No raise,644,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Prefer not to say,30-34,Master's Degree,6-10,Non-EU,A state-owned enterprise,Transportation & Storage,1000+,1-2,Senior Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,39,76.000,14.000,0,6-10%,697,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Technology/Software Development,501-1000,1-2,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,76.000,na,0,No raise,850,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,6-10,German,A private firm,Manufacturing,1000+,6-10,Quality Engineer,Individual Contributor (no direct reports),3-5,Full-time,42,76.000,na,0,No raise,958,42
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Master's Degree,16-20,Non-EU,A private firm,Information & Communication,201-500,1-2,Senior Software Engineer,Prefer not to say,1-2,Full-time,40,77.000,na,6.500,No raise,7,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Trade and Technical School Certificate,6-10,Other-EU,A private firm,Technology/Software Development,1000+,1-2,Senior Android Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,77.000,na,9.000,1-5%,54,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,Non-EU,Prefer not to say,Finance & Insurance,1000+,Less than 1,QA Engineer,na,6-10,Full-time,39,77.000,3.500,0,No raise,301,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,6-10,German,A private firm,Manufacturing,1000+,6-10,Expert Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,77.000,4.000,0,1-5%,341,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Diploma,6-10,Non-EU,A private firm,Technology/Software Development,501-1000,3-5,Senior Product Owner,Manager (manages team),1-2,Full-time,40,77.000,12.000,0,6-10%,512,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Transportation & Storage,1000+,1-2,Machine Learning Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,77.000,na,0,6-10%,905,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Bachelor's Degree,11-15,German,A private firm,Retail & Wholesale Trade,1000+,6-10,Senior Marketing Manager,Individual Contributor (no direct reports),3-5,Full-time,40,78.000,na,0,No raise,20,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Dual (Ger/EU and Non-EU),A private firm,"Utilities (Electricity, Gas, Steam, Air Conditioning Supply)",201-500,Less than 1,Backend Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,78.000,na,2.000,No raise,91,40
 06/2023  ,No.,Male,30-34,Bachelor's Degree,11-15,Other-EU,A private firm,Technology/Software Development,501-1000,1-2,Senior Solutions Architect,Individual Contributor (no direct reports),1-2,Full-time,40,98.000,32.000,na,1-5%,656,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Doctor's Degree,6-10,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",501-1000,Less than 1,Data Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,78.000,na,0,11-15%,137,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,6-10,Other-EU,A private firm,Technology/Software Development,501-1000,1-2,Senior Product Manager,Individual Contributor (no direct reports),1-2,Full-time,40,78.000,na,0,1-5%,139,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Information & Communication,1-10,Less than 1,Software Engineer,Individual Contributor (no direct reports),11-15,Full-time,40,78.000,na,0,No raise,239,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Doctor's Degree,6-10,Other-EU,A private firm,Information & Communication,51-200,1-2,Senior Engineer,Team Lead (manages small team),Less than 1,Full-time,40,78.000,na,0,No raise,266,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Master's Degree,11-15,German,A private firm,Education,51-200,3-5,Consultant,Individual Contributor (no direct reports),1-2,Part-time,30,78.000,na,0,No raise,467,30
 06/2023  ,No.,Male,30-34,Bachelor's Degree,11-15,Dual (Ger/EU and Non-EU),Self-employed,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,1-2,CMO,Individual Contributor (no direct reports),1-2,Contract/Freelance,4,120.000,na,na,No raise,662,4
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,Less than 1,Software Engineer,Individual Contributor (no direct reports),6-10,Full-time,40,78.000,na,5.000,1-5%,541,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,Less than 1,Senior Quality Engineer,Prefer not to say,6-10,Full-time,38,78.000,na,0,No raise,565,38
 06/2023  ,No.,Male,40-44,Master's Degree,1-2,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,Less than 1,Junior Architect,Individual Contributor (no direct reports),Less than 1,Full-time,39,37.000,na,na,No raise,665,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,na,Non-EU,A private firm,Technology/Software Development,501-1000,1-2,Analytical Engineering Manager,Team Lead (manages small team),1-2,Full-time,40,78.000,7.760,0,1-5%,667,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Other-EU,A private firm,Technology/Software Development,51-200,1-2,Senior Machine Learning Engineer,Individual Contributor (no direct reports),1-2,Full-time,32,78.000,na,0,No raise,719,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,6-10,German,A state-owned enterprise,Public Administration,1000+,6-10,Wissenschaftlicher Mitarbeiter,Individual Contributor (no direct reports),6-10,Full-time,39,78.000,na,0,No raise,768,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,German,Other public sector (such as education and health),Public Administration,1-10,1-2,Referent,Individual Contributor (no direct reports),1-2,Full-time,39,78.000,5.000,0,1-5%,774,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Doctor's Degree,3-5,German,A private firm,Finance & Insurance,201-500,Less than 1,Machine Learning Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,78.000,7.000,0,No raise,835,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Prefer not to say,6-10,Other-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,3-5,Head of Research Operations,Senior Manager/Director (manages departments),1-2,Full-time,40,78.000,na,0,20%+,843,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Information & Communication,1000+,3-5,Senior Technology Consultant,Individual Contributor (no direct reports),3-5,Full-time,40,78.000,na,13.000,1-5%,886,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Retail & Wholesale Trade,1000+,1-2,Senior Program Manager,Individual Contributor (no direct reports),1-2,Full-time,40,78.000,na,0,No raise,887,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,40-44,Bachelor's Degree,16-20,Other-EU,A private firm,Technology/Software Development,11-50,3-5,Head of Content,Senior Manager/Director (manages departments),3-5,Full-time,40,78.000,na,78.000,No raise,888,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Education,201-500,3-5,Senior Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,79.000,na,0,6-10%,49,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Information & Communication,1000+,Less than 1,Senior Manager Diversity and Inclusion,Individual Contributor (no direct reports),Less than 1,Part-time,30,79.000,na,0,No raise,243,30
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Non-EU,A private firm,Manufacturing,1000+,1-2,Project Manager,Individual Contributor (no direct reports),1-2,Full-time,38,79.000,6.000,0,11-15%,381,38
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,Other Services,501-1000,Less than 1,Software Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,79.000,na,6.000,No raise,424,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,na,Non-EU,A private firm,Technology/Software Development,201-500,3-5,Software Engineer in Test,Individual Contributor (no direct reports),3-5,Full-time,40,79.000,6.000,85.000,1-5%,626,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,No vocational qualification attained,21-30,German,A private firm,Finance & Insurance,1000+,3-5,Senior Frontend Developer,Individual Contributor (no direct reports),3-5,Full-time,40,79.000,78.500,0,1-5%,721,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Diploma,11-15,German,A private firm,Technology/Software Development,51-200,3-5,Lead Solution Architect,Individual Contributor (no direct reports),1-2,Full-time,40,79.000,na,0,6-10%,728,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Other Services,1000+,3-5,Supply Chain Manager,Manager (manages team),1-2,Full-time,"39,5",79.000,16.000,0,1-5%,808,"39,5"
 06/2023  ,No.,Female,35-39,Master's Degree,11-15,Non-EU,A private firm,Technology/Software Development,51-200,Less than 1,Business Analyst,Individual Contributor (no direct reports),3-5,Full-time,40,65.000,na,na,1-5%,683,40
 06/2023  ,No.,Female,25-29,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,1-2,Product Designer,Individual Contributor (no direct reports),1-2,Full-time,40,93.000,na,na,No raise,684,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,11-15,Non-EU,A private firm,Technology/Software Development,51-200,1-2,Senior Designer,Individual Contributor (no direct reports),3-5,Full-time,40,79.000,na,0,1-5%,1021,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,201-500,1-2,Senior Product Manager,Team Lead (manages small team),Less than 1,Full-time,40,79.000,na,0,6-10%,1027,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Apprenticeship/Vocational Training (Dual System),11-15,German,A private firm,Finance & Insurance,201-500,3-5,Senior Platform Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,80.000,95.000,0,6-10%,9,40
